ID	NR_INWENT	NAZWA	REGION	GMINA	ROK_AKTUALIZACJI
390	NP-01	Grota w Mechowej	Niż Polski	Puck (gm. wiejska)	2013
391	NP-02	Schronisko w Połchowie	Niż Polski	Puck (gm. wiejska)	2013
392	NP-03	Jaskinia w Kępie Redłowskiej	Niż Polski	Gdynia (gm. miejska)	2013
393	NP-04	Jaskinia Śpiącego Szweda	Niż Polski	Gdynia (gm. miejska)	2013
394	NP-05	Czarcie Okna	Niż Polski	Barlinek (gm. miejsko-wiejska)	2013
395	NP-06	Nisze nad Czarcimi Oknami	Niż Polski	Barlinek (gm. miejsko-wiejska)	2013
396	NP-07	Grota Mirachowska I	Niż Polski	Kartuzy (gm. miejsko-wiejska)	2013
397	NP-08	Grota Mirachowska II	Niż Polski	Kartuzy (gm. miejsko-wiejska)	2013
398	NP-09	Jaskinia Bajka I	Niż Polski	Dobrcz (gm. wiejska)	2013
399	NP-10	Jaskinia Bajka II	Niż Polski	Dobrcz (gm. wiejska)	2013
401	NP-12	Jaskinia Klonowa	Niż Polski	Grudziądz (gm. wiejska)	2013
402	NP-13	Jaskinia pod Wierzbą	Niż Polski	Grudziądz (gm. wiejska)	2013
403	NP-14	Płaska Nisza	Niż Polski	Rogóźno (gm. wiejska)	2013
404	NP-15	Ciasna Dziura	Niż Polski	Rogóźno (gm. wiejska)	2013
406	NP-17	Szczelina w Kurowie	Niż Polski	Kobylin-Borzymy (gm. wiejska)	2013
407	P-01.02	Dziura w Maruszynie	Pieniny	Szaflary (gm. wiejska)	2020
408	P-01.03	Schronisko w Szaflarach	Pieniny	Szaflary (gm. wiejska)	2020
409	P-01.04	Jaskinia w Szaflarach	Pieniny	Szaflary (gm. wiejska)	2020
410	P-02.01	Jaskinia w Obłazowej	Pieniny	Nowy Targ (gm. wiejska)	2020
411	P-02.02	Schronisko w Obłazowej I	Pieniny	Nowy Targ (gm. wiejska)	2020
412	P-02.03	Schronisko w Obłazowej II 	Pieniny	Nowy Targ (gm. wiejska)	2020
413	P-02.05	Schronisko w Kramnicy	Pieniny	Nowy Targ (gm. wiejska)	2020
414	P-02.06	Schronisko Wodne pod Kramnicą	Pieniny	Nowy Targ (gm. wiejska)	2020
415	P-02.07	Schronisko w Lorencowych Skałkach	Pieniny	Nowy Targ (gm. wiejska)	2020
416	P-02.08	Schronisko w Borsukowej Skale I	Pieniny	Nowy Targ (gm. wiejska)	2020
417	P-02.09	Schronisko w Borsukowej Skale II	Pieniny	Nowy Targ (gm. wiejska)	2020
418	P-02.10	Schronisko w Borsukowej Skale III	Pieniny	Nowy Targ (gm. wiejska)	2020
420	P-02.13	Schronisko w Dziurowej Skale	Pieniny	Nowy Targ (gm. wiejska)	2020
421	P-02.14	Jaskinia w Dziurowej Skale	Pieniny	Nowy Targ (gm. wiejska)	2020
422	P-03.01	Schronisko w Żorze	Pieniny	Łapsze Niżne (gm. wiejska)	2020
423	P-03.02	Prosta Dziura	Pieniny	Łapsze Niżne (gm. wiejska)	2020
424	P-03.03	Krzywa Dziura	Pieniny	Łapsze Niżne (gm. wiejska)	2020
425	P-03.04	Schronisko przy Zielonej Drodze	Pieniny	Łapsze Niżne (gm. wiejska)	2020
426	P-03.05	Schronisko w Zielonych Skałkach	Pieniny	Łapsze Niżne (gm. wiejska)	2020
427	P-03.06	Schronisko w Zielonych Skałkach Górne	Pieniny	Łapsze Niżne (gm. wiejska)	2020
428	P-04.01Ex	Schronisko Czorsztyńskie	Pieniny	Czorsztyn (gm. wiejska)	2020
470	NP-1Ex	Jaskinia w Starym Puszczykowie	Niż Polski	Puszczykowo (gm. miejska)	2013
471	NP-2Ex	Nisze w Bielawach	Niż Polski	Barcin (gm. miejsko-wiejska)	2013
472	NP-3Ex	Komora Kryształowa	Niż Polski	Inowrocław (gm. miejska)	2013
473	NP-4Ex	Groty w Nagórzycach	Niż Polski	Tomaszów Mazowiecki (gm. miejska)	2013
490	T-Wielka Śnieżna	Jaskinia Wielka Śnieżna	Tatry	Kościelisko (gm. wiejska)	2014
491	T.E-12.01	Jaskinia Wielka Litworowa	Tatry	Kościelisko (gm. wiejska)	2013
493	T.E-12.06	Jaskinia nad Kotlinami	Tatry	Kościelisko (gm. wiejska)	2013
494	T.E-12.05	Jasny Awen	Tatry	Kościelisko (gm. wiejska)	2013
495	T.E-12.64	Jaskinia Wilcza	Tatry	Kościelisko (gm. wiejska)	2013
496	T.E-13.01	Jaskinia Śnieżna	Tatry	Kościelisko (gm. wiejska)	2013
650	N-1.1	Jaskinia w Antolce	Niecka Nidziańska	Książ Wielki (gm. wiejska)	2013
651	N-2.1	Schronisko w Bogucicach	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
653	N-1Ex	Jaskinia w Czarkowych	Niecka Nidziańska	Nowy Korczyn (gm. miejsko-wiejska)	2013
654	N-2Ex	Jaskinia koło Skorocic	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
655	N-3Ex	Jaskinia w Skotnikach Małych	Niecka Nidziańska	Busko-Zdrój (gm. miejsko-wiejska)	2013
656	N-4Ex	Jaskinia Magierowska	Niecka Nidziańska	Solec-Zdrój (gm. wiejska)	2013
657	N-5Ex	Lejowa Studnia  (N-2.5)	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
658	N-2.2	Jaskinia w Krzyżanowicach Górna	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
659	N-2.3	Jaskinia Lucyny	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
660	N-2.4	Jaskinia w Gackach	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
661	N-2.7	Schron w Marzęcinie	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
662	N-6Ex	Jaskinia w Skorocicach wzmiankowana przez Sawickiego	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
663	N-2.9	Jaskinia Żydowska	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
664	N-2.10	Schronisko w Chwałowicach	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
665	N-2.11	Schronisko przy Rowie	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
666	N-2.12	Jaskinia Lisia	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
667	N-2.13	Schronisko przy Lisiej	Niecka Nidziańska	Wiślica (gm. miejsko-wiejska)	2013
668	N-2.17	Schronisko Bajkowe	Niecka Nidziańska	Pińczów (gm. miejsko-wiejska)	2013
669	G-1.1	Schronisko Ciepłe	Region Świętokrzyski	Kielce (gm. miejska)	2013
670	G-1.2	Schronisko Równoległe	Region Świętokrzyski	Kielce (gm. miejska)	2013
